number,returns,variances,epsilon
218350,[0.20000 0.40000],[0.00000 0.00000],0.278631149520185
218400,[0.20000 0.40000],[0.00000 0.00000],0.2785785455880995
218450,[0.20000 0.40000],[0.00000 0.00000],0.27851782819620774
218500,[0.20000 0.40000],[0.00000 0.00000],0.27845626914428107
218550,[0.20000 0.40000],[0.00000 0.00000],0.27840284349896
218600,[0.20000 0.40000],[0.00000 0.00000],0.27834857354106624
218650,[0.20000 0.40000],[0.00000 0.00000],0.27829217818258906
218700,[0.20000 0.40000],[0.00000 0.00000],0.2782368620215735
218750,[0.20000 0.40000],[0.00000 0.00000],0.27818048929662775
218800,[0.20000 0.40000],[0.00000 0.00000],0.27812348758945515
218850,[0.20000 0.40000],[0.00000 0.00000],0.27806521702185394
218900,[0.20000 0.40000],[0.00000 0.00000],0.27800973259349104
218950,[0.20000 0.40000],[0.00000 0.00000],0.27795447257420974
219000,[0.20000 0.40000],[0.00000 0.00000],0.27789389120171504
219050,[0.20000 0.40000],[0.00000 0.00000],0.277843558979629
219100,[0.20000 0.40000],[0.00000 0.00000],0.2777893980448576
219150,[0.20000 0.40000],[0.00000 0.00000],0.27773929792131025
219200,[0.20000 0.40000],[0.00000 0.00000],0.2776896331024775
219250,[0.20000 0.40000],[0.00000 0.00000],0.2776355021729709
219300,[0.20000 0.40000],[0.00000 0.00000],0.27758202095086715
219350,[0.20000 0.40000],[0.00000 0.00000],0.2775313191881658
219400,[0.20000 0.40000],[0.00000 0.00000],0.2774729597192675
219450,[0.20000 0.40000],[0.00000 0.00000],0.2774201485906528
219500,[0.20000 0.40000],[0.00000 0.00000],0.277364579992345
219550,[0.20000 0.40000],[0.00000 0.00000],0.27730731978960055
219600,[0.20000 0.40000],[0.00000 0.00000],0.2772532633856522
219650,[0.20000 0.40000],[0.00000 0.00000],0.2771968771880895
219700,[0.20000 0.40000],[0.00000 0.00000],0.27713752448928003
219750,[0.20000 0.40000],[0.00000 0.00000],0.27708158716566633
219800,[0.20000 0.40000],[0.00000 0.00000],0.2770275747645014
219850,[0.20000 0.40000],[0.00000 0.00000],0.27696783315463946
219900,[0.20000 0.40000],[0.00000 0.00000],0.27691256769547096
219950,[0.20000 0.40000],[0.00000 0.00000],0.27686156321326755
220000,[0.20000 0.40000],[0.00000 0.00000],0.27679888307426853
220050,[0.20000 0.40000],[0.00000 0.00000],0.2767421644707507
220100,[0.20000 0.40000],[0.00000 0.00000],0.2766867316759429
220150,[0.20000 0.40000],[0.00000 0.00000],0.2766334332165094
220200,[0.20000 0.40000],[0.00000 0.00000],0.2765761116744041
220250,[0.20000 0.40000],[0.00000 0.00000],0.2765258058874475
220300,[0.20000 0.40000],[0.00000 0.00000],0.2764708408284097
220350,[0.20000 0.40000],[0.00000 0.00000],0.2764131286671073
220400,[0.20000 0.40000],[0.00000 0.00000],0.276352883237144
220450,[0.20000 0.40000],[0.00000 0.00000],0.2763038904761987
220500,[0.20000 0.40000],[0.00000 0.00000],0.27624769735671856
220550,[0.20000 0.40000],[0.00000 0.00000],0.27619130368073513
220600,[0.20000 0.40000],[0.00000 0.00000],0.27613746482538054
220650,[0.20000 0.40000],[0.00000 0.00000],0.27608172935339687
220700,[0.20000 0.40000],[0.00000 0.00000],0.2760240984175294
220750,[0.20000 0.40000],[0.00000 0.00000],0.2759622433023866
220800,[0.20000 0.40000],[0.00000 0.00000],0.2759063314310259
220850,[0.20000 0.40000],[0.00000 0.00000],0.2758525481262248
220900,[0.20000 0.40000],[0.00000 0.00000],0.2757951767115441
220950,[0.20000 0.40000],[0.00000 0.00000],0.2757367590479383
221000,[0.20000 0.40000],[0.00000 0.00000],0.2756781421672184
221050,[0.20000 0.40000],[0.00000 0.00000],0.27562398024531143
221100,[0.20000 0.40000],[0.00000 0.00000],0.27557004047222816
221150,[0.20000 0.40000],[0.00000 0.00000],0.2755139965990022
221200,[0.20000 0.40000],[0.00000 0.00000],0.2754594440802421
221250,[0.20000 0.40000],[0.00000 0.00000],0.2754000406412342
221300,[0.20000 0.40000],[0.00000 0.00000],0.27534339733927893
221350,[0.20000 0.40000],[0.00000 0.00000],0.275279159338167
221400,[0.20000 0.40000],[0.00000 0.00000],0.2752250758036019
221450,[0.20000 0.40000],[0.00000 0.00000],0.2751688908873261
221500,[0.20000 0.40000],[0.00000 0.00000],0.27511461785862523
221550,[0.16000 0.36000],[0.00640 0.00640],0.27506753359338426
221600,[0.20000 0.40000],[0.00000 0.00000],0.2750058928378848
221650,[0.20000 0.40000],[0.00000 0.00000],0.2749524960922212
221700,[0.20000 0.40000],[0.00000 0.00000],0.27490143064568273
221750,[0.20000 0.40000],[0.00000 0.00000],0.2748415146968041
221800,[0.20000 0.40000],[0.00000 0.00000],0.27478814986775757
221850,[0.20000 0.40000],[0.00000 0.00000],0.2747324758758991
221900,[0.20000 0.40000],[0.00000 0.00000],0.27467554823342144
221950,[0.16000 0.36000],[0.00640 0.00640],0.2746234803143418
222000,[0.20000 0.40000],[0.00000 0.00000],0.2745686826413951
222050,[0.20000 0.40000],[0.00000 0.00000],0.2745185312802054
222100,[0.20000 0.40000],[0.00000 0.00000],0.2744648078441264
222150,[0.20000 0.40000],[0.00000 0.00000],0.27441172677737946
222200,[0.20000 0.40000],[0.00000 0.00000],0.27435297042797774
222250,[0.20000 0.40000],[0.00000 0.00000],0.2742927529631029
222300,[0.16000 0.32000],[0.00640 0.02560],0.2742298124725768
222350,[0.20000 0.40000],[0.00000 0.00000],0.2741822483079422
222400,[0.20000 0.40000],[0.00000 0.00000],0.2741243826855579
222450,[0.20000 0.40000],[0.00000 0.00000],0.2740719985298785
222500,[0.20000 0.40000],[0.00000 0.00000],0.2740156283749067
222550,[0.20000 0.40000],[0.00000 0.00000],0.27396137253712
222600,[0.16000 0.36000],[0.00640 0.00640],0.27390670697947966
222650,[0.20000 0.40000],[0.00000 0.00000],0.273851421762739
222700,[0.20000 0.40000],[0.00000 0.00000],0.2737953071207967
222750,[0.20000 0.40000],[0.00000 0.00000],0.27373605245634325
222800,[0.20000 0.40000],[0.00000 0.00000],0.27368080168444137
222850,[0.20000 0.40000],[0.00000 0.00000],0.27363207261856914
222900,[0.20000 0.40000],[0.00000 0.00000],0.2735751630151786
222950,[0.20000 0.40000],[0.00000 0.00000],0.27351994471713537
223000,[0.20000 0.40000],[0.00000 0.00000],0.2734607496464965
223050,[0.20000 0.40000],[0.00000 0.00000],0.273402406761949
223100,[0.20000 0.40000],[0.00000 0.00000],0.2733499507692772
223150,[0.20000 0.40000],[0.00000 0.00000],0.2732916315236843
223200,[0.20000 0.40000],[0.00000 0.00000],0.27322619452643393
223250,[0.16000 0.36000],[0.00640 0.00640],0.27316328911271337
223300,[0.20000 0.40000],[0.00000 0.00000],0.2731123463444001
223350,[0.20000 0.40000],[0.00000 0.00000],0.2730580597790192
223400,[0.20000 0.40000],[0.00000 0.00000],0.27299833606670054
223450,[0.20000 0.40000],[0.00000 0.00000],0.2729482620416568
223500,[0.20000 0.40000],[0.00000 0.00000],0.2728908663010382
223550,[0.20000 0.40000],[0.00000 0.00000],0.2728391366890085
223600,[0.20000 0.40000],[0.00000 0.00000],0.27278176389534137
223650,[0.20000 0.40000],[0.00000 0.00000],0.27273047362135916
223700,[0.20000 0.40000],[0.00000 0.00000],0.27267103084189914
223750,[0.20000 0.40000],[0.00000 0.00000],0.2726095086549161
223800,[0.20000 0.40000],[0.00000 0.00000],0.27255260253096886
223850,[0.20000 0.40000],[0.00000 0.00000],0.272495708285943
223900,[0.20000 0.40000],[0.00000 0.00000],0.2724411260768598
223950,[0.20000 0.40000],[0.00000 0.00000],0.2723859276083586
224000,[0.20000 0.40000],[0.00000 0.00000],0.27232865011579577
224050,[0.20000 0.40000],[0.00000 0.00000],0.27227180261992345
224100,[0.20000 0.40000],[0.00000 0.00000],0.2722185188699492
224150,[0.20000 0.40000],[0.00000 0.00000],0.2721600232340953
224200,[0.20000 0.40000],[0.00000 0.00000],0.27210279324485376
224250,[0.20000 0.40000],[0.00000 0.00000],0.2720484985434134
224300,[0.20000 0.40000],[0.00000 0.00000],0.27198962192253207
224350,[0.20000 0.40000],[0.00000 0.00000],0.2719322190496189
224400,[0.20000 0.40000],[0.00000 0.00000],0.2718748282914688
224450,[0.20000 0.40000],[0.00000 0.00000],0.27182057907757695
224500,[0.20000 0.40000],[0.00000 0.00000],0.2717690523508386
224550,[0.20000 0.40000],[0.00000 0.00000],0.27171670118920427
224600,[0.22000 0.38000],[0.00160 0.00160],0.2716583133863685
224650,[0.20000 0.40000],[0.00000 0.00000],0.27160640048741114
224700,[0.20000 0.40000],[0.00000 0.00000],0.27154741112478437
224750,[0.20000 0.40000],[0.00000 0.00000],0.27148864294903063
224800,[0.20000 0.40000],[0.00000 0.00000],0.2714338457933366
224850,[0.20000 0.40000],[0.00000 0.00000],0.27137989286365916
224900,[0.20000 0.40000],[0.00000 0.00000],0.2713244929095853
224950,[0.16000 0.36000],[0.00640 0.00640],0.27126806323329083
225000,[0.20000 0.40000],[0.00000 0.00000],0.27121455958564344
225050,[0.20000 0.40000],[0.00000 0.00000],0.2711618989873229
225100,[0.20000 0.40000],[0.00000 0.00000],0.27110758394669654
225150,[0.20000 0.40000],[0.00000 0.00000],0.27105203154202745
225200,[0.20000 0.40000],[0.00000 0.00000],0.27100273051718377
225250,[0.20000 0.40000],[0.00000 0.00000],0.27094927920252376
225300,[0.20000 0.40000],[0.00000 0.00000],0.27089563051019167
225350,[0.16000 0.36000],[0.00640 0.00640],0.2708390821513224
225400,[0.20000 0.40000],[0.00000 0.00000],0.27078275343005703
225450,[0.20000 0.40000],[0.00000 0.00000],0.2707212417183226
225500,[0.20000 0.40000],[0.00000 0.00000],0.27066099041680153
225550,[0.20000 0.40000],[0.00000 0.00000],0.2706026217749504
225600,[0.20000 0.40000],[0.00000 0.00000],0.27054779580021754
225650,[0.20000 0.40000],[0.00000 0.00000],0.27049671795805763
225700,[0.20000 0.40000],[0.00000 0.00000],0.2704456497590952
